merchant_sku,image_url,visual_check_status,identity_status,overall_status,notes,evidence_reference
ARD-4680,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4680.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4685,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4685.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4686,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4686.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4750,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4750.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو اكلاير 300 مل; image is Eclaire 100ml EDP (3.4FL.OZ),images/ARD-4750.webp
ARD-4751,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4751.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو مسمم ابيض 300 مل; image is Musamam White Intense EDP perfume,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4752,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4752.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو بديع العود نوبل بلوش 300 مل; image is Noble Blush EDP perfume,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4770,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4770.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-479,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-479.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-4792,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4792.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing مسمم اسود انتنس; bottle label reads MUSAMAM WHITE INTENSE (gold bottle),images/ARD-4792.webp
ARD-4807,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4807.webp,FAIL_WRONG_IMAGE,FAIL_WRONG_VARIANT,FAIL_P1,Listing معطر جو نبراس 300 مل; image is Nebras 100ml EDP (Lattafa Pride),images/ARD-4807.webp
ARD-5036,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-5036.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-5058,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-5058.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_05.png
ARD-663,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-663.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-715,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-715.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-766,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-766.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-775,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-775.webp,PASS,FAIL_WRONG_BRAND,FAIL_P1,Catalog brand Lattafa / musk category; packaging clearly ASDAAF SALAMAH EDP 100ml,images/ARD-775.webp
ARD-823,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-823.webp,PASS,FAIL_WRONG_SIZE,FAIL_P1,Catalog size 100 مل; bottle and box print EAU DE PARFUM 50 ML (+ deodorant set),images/ARD-823.webp
ARD-92,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-92.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-957,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-957.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-958,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-958.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-959,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-959.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
ARD-970,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-970.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_06.png
