node.exe : npm warn Unknown env config "devdir". This will stop working in the next major version of npm. See `npm 
help npmrc` for supported config options.
At line:1 char:1
+ & "C:\Program Files\nodejs/node.exe" "C:\Users\derma\AppData\Roaming\ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (npm warn Unknow...config options.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
  120:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  129:63   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  133:79   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  147:25   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  167:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  168:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  169:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  170:27   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  181:60   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  181:84   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  181:110  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  182:66   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  182:93   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  183:62   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  234:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  234:87   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\jobs\jobs.service.ts
   55:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   69:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   96:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  137:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  206:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  231:46  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  255:20  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  273:20  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  333:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  372:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\loyalty\loyalty.service.ts
  22:38  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  41:32  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\marketplace\marketplace.controller.ts
  75:32  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\marketplace\marketplace.service.ts
  246:61  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  270:37  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  338:11  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  342:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  580:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  580:47  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  587:20  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  635:37  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  640:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  640:82  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  677:30  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  737:42  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  740:20  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\merchant-applications\merchant-applications.service.ts
   57:14  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   73:16  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   85:12  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   92:12  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  119:43  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\merchants\merchant-push.service.ts
   87:5   warning  Unused eslint-disable directive (no problems were reported from '@typescript-eslint/no-var-requires')
   88:17  error    A `require()` style import is forbidden                                                                @typescript-eslint/no-require-imports
  154:22  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  235:21  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  307:31  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  385:21  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  424:69  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  452:12  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  464:12  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any
  483:12  error    Unexpected any. Specify a different type                                                               @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\merchants\merchants.service.ts
   40:42   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  116:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  123:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  156:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  166:119  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  184:110  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  194:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  199:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  254:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  255:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  269:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  325:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  328:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  329:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  334:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  338:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  342:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  343:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  343:75   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  351:16   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  357:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  363:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  364:39   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  365:40   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  375:59   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  410:47   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  425:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  426:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  428:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  429:52   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  435:47   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  436:70   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  486:21   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  487:34   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  512:49   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  513:40   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\notifications\notifications.service.ts
  182:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  201:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  245:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  295:21  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  484:56  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  489:67  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  571:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  584:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  749:11  error  Redundant Boolean call                    no-extra-boolean-cast

E:\Project\DilMart-Store\backend\src\modules\orders\checkout-attempts.service.ts
   26:31  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  103:36  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  141:41  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\orders\customer-checkout-enrichment.service.ts
  38:37  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  53:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  95:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\orders\order-returns.service.ts
  154:12  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  246:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  304:19  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  310:47  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  379:41  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  416:45  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  438:42  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\orders\orders.controller.ts
  267:17  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\orders\orders.service.ts
  122:94   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  155:69   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  174:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  259:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  388:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  389:42   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  397:75   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  426:101  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  435:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  452:82   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  489:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  546:95   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  551:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  579:26   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  580:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  581:24   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  582:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  583:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  584:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  585:34   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  675:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  730:50   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  736:51   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  743:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  781:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\products\merchant-products.controller.ts
  13:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  24:27  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  55:32  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\products\products.service.ts
   16:42   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  142:33   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  143:35   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  144:35   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  177:23   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  224:11   warning  Unused eslint-disable directive (no problems were reported from 'no-new')
  296:12   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  302:30   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  317:28   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  320:30   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  321:103  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  325:33   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  327:41   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  369:100  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  372:23   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  380:45   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  386:12   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  401:32   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  417:31   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  425:94   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  436:112  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  447:40   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  449:102  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  449:124  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  458:65   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  468:72   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  537:12   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  555:44   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  571:23   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  581:12   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  651:35   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  693:102  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  724:82   error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any
  753:101  error    Unexpected any. Specify a different type                                   @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\shipping\delivery-operations.service.ts
   83:20  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   93:49  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  103:45  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  132:91  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  145:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  211:26  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  214:26  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  220:45  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  249:89  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  254:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  328:10  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  378:25  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\shipping\shipping.service.ts
   30:106  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   47:53   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   50:35   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   90:116  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   99:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  112:98   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\store-integration\store-integration.service.ts
  207:38  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\whatsapp-intents\whatsapp-intents.service.ts
   49:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   67:110  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   77:35   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   89:96   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   93:126  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  109:96   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  118:71   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  132:43   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  133:46   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  134:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  197:96   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  219:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  220:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  220:72   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  232:35   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  237:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

Γ£û 541 problems (539 errors, 2 warnings)
  2 errors and 2 warnings potentially fixable with the `--fix` option.

